WeekEndingDay,StarKist,BumbleBee,Others
20180414,2.071704781,1.846945174,1.384822451
20180421,2.077672909,1.922172982,1.417322551
20180428,2.06955728,1.908622885,1.505531992
20180505,2.020951422,1.822088704,1.456178421
20180512,1.95641666,1.894567865,1.437984849
20180519,1.964763831,1.80789264,1.460881659
20180526,1.955821536,1.702174108,1.47214703
20180602,1.931915274,1.7564037,1.502268452
20180609,1.851705016,1.862671341,1.477311163
20180616,1.900643751,1.844935666,1.478098792
20180623,1.855600694,1.846406352,1.465130757
20180630,1.868344802,1.7476775,1.487315121
20180707,2.008299083,1.751687038,1.502355868
20180714,2.013967037,1.739474363,1.479587735
20180721,1.928229511,1.928079275,1.484690198
20180728,2.01602739,1.501828949,1.513169181
20180804,2.023378482,1.510783239,1.485642916
20180811,1.988467499,1.787680579,1.478310521
20180818,1.841533629,1.796608776,1.502772044
20180825,1.808772012,1.870653146,1.513569966
20180901,1.894698001,1.763425219,1.537718536
20180908,1.936663779,1.73111352,1.519680843
20180915,1.88850723,1.789027909,1.511654079
20180922,1.987827874,1.765080767,1.496237072
20180929,1.937636437,1.787280493,1.473993976
20181006,1.990013727,1.72384167,1.501766313
20181013,2.012338668,1.747070076,1.512942294
20181020,1.677231682,1.734597185,1.52797612
20181027,1.76966488,1.880332463,1.532158269
20181103,2.037538868,1.854606692,1.523889728
20181110,2.05023785,1.851990679,1.521350553
20181117,2.0183443,1.877835281,1.500013881
20181124,2.052567574,1.877396633,1.542380088
20181201,2.05221302,1.900853558,1.521957194
20181208,1.949513639,1.87292174,1.480965565
20181215,1.927023644,1.896724349,1.503236535
20181222,2.02748651,1.907801282,1.524458837
20181229,2.026184992,1.880527487,1.49808596
20190105,1.819978358,1.753970302,1.464617313
20190112,1.853822923,1.869648523,1.47941199
20190119,1.934328346,1.841019514,1.49368054
20190126,1.987049507,1.548504539,1.481789625
20190202,2.047286002,1.600278008,1.510415988
20190209,2.047429378,1.882920521,1.496630829
20190216,2.071215748,1.910189105,1.415842527
20190223,2.02424266,1.740161417,1.505227851
20190302,1.88375984,1.786859441,1.531559276
20190309,1.497956177,1.770869019,1.420932171
20190316,1.499224703,1.603731734,1.489149377
20190323,1.860011144,1.726192896,1.500553632
20190330,1.874138564,1.706721352,1.556923002
20190406,1.964924646,1.694809054,1.508737481
20190413,1.712116941,1.799941176,1.530573176
20190420,1.909268889,1.881210423,1.539297838
20190427,2.055076396,1.800888274,1.587481331
20190504,2.086588059,1.883268735,1.588944601
20190511,2.049643091,1.766983102,1.544583013
20190518,2.054281954,1.761545934,1.550195045
20190525,2.076547932,1.814738204,1.588727668
20190601,2.022083515,1.779323854,1.587828251
20190608,1.856254429,1.885334269,1.578657002
20190615,1.849740167,1.888043362,1.574626119
20190622,1.936279068,1.892475084,1.582288153
20190629,1.914785268,1.865636584,1.525634089
20190706,1.979654449,1.869472708,1.491586628
20190713,1.927273769,1.861944328,1.536638036
20190720,1.95819869,1.918114511,1.594085886
20190727,1.771263139,1.931565995,1.60768184
20190803,1.791988813,1.830790892,1.62658498
20190810,1.919619639,1.904302231,1.568595163
20190817,1.92822669,1.919240983,1.540283222
20190824,1.91462325,1.905201417,1.474286484
20190831,1.964712849,1.750378529,1.460765129
20190907,1.902489053,1.886415986,1.524202132
20190914,1.962922737,1.886100254,1.521886758
20190921,1.978633396,1.811683351,1.197005281
20190928,1.986054254,1.819631963,1.290111586
20191005,1.997385113,1.842534649,1.551198699
20191012,1.991576383,1.87676357,1.531623805
20191019,1.999169263,1.851281185,1.571733032
20191026,2.00319644,1.793362279,1.510532046
20191102,1.977847138,1.76265106,1.5935449
20191109,1.959109861,1.872986002,1.593495895
20191116,1.965171868,1.777554152,1.597749029
20191123,2.049123823,1.865991527,1.588541517
20191130,2.056876457,1.883888418,1.641010988
20191207,2.054516856,1.870908551,1.570468926
20191214,1.961330335,1.942799771,1.567079295
20191221,2.019997068,1.942635705,1.593713002
20191228,2.00006116,1.903135492,1.52272431
