TRX_DATE,NET_SALES
6/28/2018,1199.9
1/23/2017,99
11/7/2017,1065.61
12/8/2017,264.1
6/19/2018,10472.91
4/24/2015,1233.75
9/3/2019,77.81
8/28/2018,59.8
5/30/2018,0
5/30/2017,780.39
9/9/2019,1136.61
4/9/2015,516
10/29/2016,0
9/30/2015,444
1/16/2016,299.32
8/25/2017,3212.42
7/24/2018,1030.01
5/16/2017,3399.65
2/15/2016,0
1/15/2018,647.18
5/26/2016,15091
6/22/2016,340
5/28/2019,3234.51
3/1/2018,547.25
12/3/2019,79.8
11/19/2016,1116
12/2/2019,2739.66
5/17/2019,6384.41
6/8/2016,585
11/2/2017,2997.76
9/30/2016,74.95
12/16/2019,1499.75
4/30/2018,579.8
10/7/2015,1716
11/2/2017,508.8
6/22/2017,131.4
10/10/2018,27.35
6/3/2016,96
1/26/2018,44.85
5/30/2017,99.95
4/23/2015,1939
7/11/2017,22397.2
3/20/2019,1715.66
11/30/2018,15472.13
4/25/2018,664.31
11/4/2016,833
7/17/2017,789.95
4/28/2015,1038
6/21/2018,344.95
5/3/2017,45.9
10/28/2015,1091
10/30/2015,3774
5/22/2019,668.27
8/11/2015,36
7/1/2015,4041
9/25/2018,450
5/23/2018,277.6
11/21/2018,2669.75
2/14/2018,3037.75
3/7/2017,7909.9
2/22/2019,79.8
11/3/2015,2994
8/3/2017,0
7/26/2018,1775.36
8/3/2015,2303
3/14/2018,2879.8
5/6/2016,2245
1/16/2018,3089.71
5/8/2017,1099.9
11/20/2015,2656.6
12/12/2015,7397
5/9/2016,5841
6/25/2019,899.9
9/8/2017,2878.51
4/22/2019,10653.69
9/25/2018,1662.16
5/26/2016,12499
1/6/2017,3045
9/18/2017,15.95
3/7/2017,120.45
9/5/2017,1999.75
3/6/2018,159.95
12/21/2018,39.9
1/24/2019,0
7/30/2019,3849.45
10/10/2016,15
12/7/2018,3413.69
6/28/2018,1139.85
12/30/2019,399.95
11/2/2015,6
5/6/2016,4784
8/18/2015,0
1/11/2017,1974
11/2/2015,15
3/22/2018,0
10/26/2018,1199.9
5/24/2015,246.75
5/8/2017,4871.16
11/5/2016,1996
6/5/2019,15.95
10/29/2019,1399.8
4/26/2018,0
10/10/2019,1009.43
11/19/2018,0
11/25/2015,0
6/12/2017,139.65
12/8/2016,1796
4/22/2019,3734.65
11/23/2016,45
6/20/2016,630
8/13/2019,552.8
6/10/2015,32026.75
6/13/2019,4544.24
1/25/2016,228
7/25/2017,2056.62
2/25/2019,0
11/25/2015,3961
6/9/2016,38
12/5/2015,6149
10/21/2016,1512.5
9/13/2018,259.9
10/27/2016,3887
5/19/2015,96
4/4/2016,1909.22
10/4/2016,-2.13E-14
7/9/2015,2583
8/30/2018,99.95
7/29/2015,252
4/7/2016,2885
6/10/2016,1186
10/14/2015,156
12/30/2015,0
8/2/2019,694.63
7/23/2019,100.16
8/16/2019,2047.21
5/10/2017,4746.46
10/16/2015,14034.75
2/10/2016,75
3/23/2018,26.05
12/20/2019,64.75
6/26/2017,1023.58
2/12/2016,1796.27
12/10/2018,12
11/6/2019,799.67
12/9/2015,1058
6/26/2017,50.85
5/13/2015,794
7/29/2019,153.45
7/15/2015,18544.5
11/29/2019,21792.24
12/11/2015,310
7/30/2015,740.25
5/23/2016,5323
4/24/2019,2677.8
4/15/2019,408.8
1/20/2016,2321
1/7/2019,3179.6
7/27/2016,50
6/24/2016,1265
10/2/2019,2729.05
9/8/2018,4199.3
2/4/2019,1247.01
10/18/2018,1399.86
12/16/2019,802.67
9/6/2017,389.81
2/6/2018,12.95
11/10/2018,18.36
9/7/2016,28901
3/30/2017,300
5/15/2019,1385.81
5/23/2016,2303
1/17/2018,228.86
6/29/2017,7167.17
12/24/2018,49.75
7/2/2018,2979.55
12/27/2018,89.55
5/12/2015,2333
1/16/2017,0
3/15/2016,4671
7/10/2015,119.8
4/17/2015,4939
3/1/2017,3419.55
5/14/2019,493.35
2/7/2019,5294.64
11/8/2019,59.8
7/18/2015,1645
11/14/2017,1866.86
10/16/2017,65.7
4/13/2016,308
12/7/2016,72
9/29/2018,19.9
5/20/2016,1358
1/19/2018,100.65
4/10/2015,30
12/6/2019,0
9/27/2018,241.97
3/13/2018,479.6
6/13/2016,7774
7/10/2017,1121.7
5/14/2015,50.85
8/23/2019,0
11/28/2016,199
5/7/2019,-7.11E-15
7/13/2016,0
12/11/2017,-39.99
9/21/2015,2463.5
2/22/2016,629
5/30/2019,-3.55E-15
12/21/2017,698.9
9/13/2018,999.9
11/14/2019,519.8
10/25/2016,564.74
10/13/2016,15
12/11/2017,1054.16
4/20/2018,1599.8
8/10/2016,546
6/29/2018,20.95
10/8/2015,170
6/21/2019,-3.55E-15
5/27/2016,0
5/15/2019,3579.5
10/27/2017,3901.66
12/9/2015,3231
12/19/2018,3299.7
12/3/2016,5446
3/4/2019,1139.85
4/18/2019,29.95
1/21/2016,15
8/18/2016,7111
5/13/2019,146.76
5/22/2015,99.75
12/3/2019,2269.7
9/9/2019,3074.71
3/27/2018,2026.21
4/10/2019,309.9
6/13/2017,2659.65
5/30/2018,469.75
11/6/2018,629.95
6/8/2017,599.95
12/11/2017,1999.75
5/16/2019,326.86
7/12/2019,15.95
5/20/2016,5083
11/4/2016,1946.1
6/23/2017,1959.7
8/22/2019,999.9
7/26/2016,30
4/28/2015,883
3/15/2018,2283.66
8/12/2016,15
7/14/2015,507
8/13/2016,90.35
1/31/2019,56.41
4/24/2018,319.9
1/4/2018,2112.31
12/7/2018,69018.76
7/23/2015,588
1/12/2017,200
8/5/2015,108
