Brand,time_period,qua,nat,compnat
A2,2011-06-27,0.54219540246495,1254578,35354903
A2,2011-07-04,0.536813307738569,320237,18434053
A2,2011-07-11,0.627464632267148,2204817,30232378
A2,2011-07-18,0.522622276861319,2733635,28592966
A2,2011-07-25,0.528388948767288,3805832,34031357
A2,2011-08-01,0.601145967140692,4300388,43436309
A2,2011-08-08,0.494967228187865,5024489,28893291
A2,2011-08-15,0.679096372810839,772198,20412957
A2,2011-08-22,0.606100292225948,613373,25802005
A2,2011-08-29,0.51938714990244,1354477,40282983
A2,2011-09-05,0.622390316178899,2258744,39562707
A2,2011-09-12,0.590235217122578,1307511,32410034
A2,2011-09-19,0.559186249653893,4379179,39421176
A2,2011-09-26,0.62035747712441,2298989,42170535
A2,2011-10-03,0.541235991909738,3044718,15372071
A2,2011-10-10,0.513155492027902,5330707,20483843
A2,2011-10-17,0.63658507762799,4140249,32201482
A2,2011-10-24,0.642524698285952,4187589,33052950
A2,2011-10-31,0.537708062859989,6296845,41637670
A2,2011-11-07,0.605357280866353,3098521,48063424
A2,2011-11-14,0.623830306070707,5649598,41824261
A2,2011-11-21,0.566256926772772,6112063,48927969
A2,2011-11-28,0.593547003472091,9655234,59937043
A2,2011-12-05,0.570624331578286,8013736,35331359
A2,2011-12-12,0.593432292432559,5338089,34866835
A2,2011-12-19,0.613876654631253,5063591,29325565
A2,2011-12-26,0.603611044281162,1761173,16888561
A2,2012-01-02,0.549210435166212,2664033,17836320
A2,2012-01-09,0.548709843959292,2486903,19664691
A2,2012-01-16,0.558247542891124,454352,20241930
A2,2012-01-23,0.596059409448746,456054,6928366
A2,2012-01-30,0.58518138178417,943972,22014848
A2,2012-02-06,0.597612204186487,252868,15365968
A2,2012-02-13,0.596463298959883,2452123,18351048
A2,2012-02-20,0.535973766345782,2508355,36943029
A2,2012-02-27,0.488647393105455,2839250,37744340
A2,2012-03-05,0.527553495114225,2547603,30724664
A2,2012-03-12,0.512641282234726,2213171,57615916
A2,2012-03-19,0.578860718023557,4727497,37845264
A2,2012-03-26,0.580401373882005,2339022,33694031
A2,2012-04-02,0.625112003619622,773765,29813731
A2,2012-04-09,0.602179181077524,935747,19311609
A2,2012-04-16,0.602417047246299,1542418,24364379
A2,2012-04-23,0.538854241471692,1997564,24536362
A2,2012-04-30,0.506131387428573,4775201,21315782
A2,2012-05-07,0.560793147990504,2525930,19239572
A2,2012-05-14,0.613391694234237,2073120,32401868
A2,2012-05-21,0.564660489588096,159037,34309865
A2,2012-05-28,0.508974810709533,726343,41979428
A2,2012-06-04,0.562398253424853,346262,21711480
A2,2012-06-11,0.522498717829019,513554,35146413
A2,2012-06-18,0.619125095182766,131503,36991310
A2,2012-06-25,0.547040284225489,4479929,44494340
A2,2012-07-02,0.481071949974552,1884724,24245103
A2,2012-07-09,0.49444004313081,1148658,26675492
A2,2012-07-16,0.545458706025093,840867,20456879
A2,2012-07-23,0.523170097683246,629571,36712623
A2,2012-07-30,0.567149047701725,1005428,40129308
A2,2012-08-06,0.601751197762574,1408185,49407941
A2,2012-08-13,0.492765087870621,1470674,22466605
A2,2012-08-20,0.592280928059666,1062173,23544195
