store,date_of_week,sales,price
STORE3,2011-11-12,1093,2.5977743902439023
STORE3,2011-11-19,1057,2.458116883116883
STORE3,2011-11-26,2207,2.640054945054945
STORE3,2011-12-03,955,2.505320512820513
STORE3,2011-12-10,840,2.668701298701299
STORE3,2011-12-17,1321,2.5276582278481015
STORE3,2011-12-24,2798,2.5488793103448275
STORE3,2011-12-31,1967,2.5550903614457834
STORE4,2011-01-01,2676,2.7587062937062936
STORE4,2011-01-08,1970,2.7558823529411764
STORE4,2011-01-15,2359,2.751834532374101
STORE4,2011-01-22,2058,2.733594890510949
STORE4,2011-01-29,2284,2.738021582733813
STORE4,2011-02-05,2365,2.7308561643835616
STORE4,2011-02-12,2106,2.7161148648648648
STORE4,2011-02-19,2279,2.6682
STORE4,2011-02-26,2171,2.6983854166666665
STORE4,2011-03-05,2140,2.6795302013422817
STORE4,2011-03-12,2227,2.6993456375838925
STORE4,2011-03-19,2340,2.707551020408163
STORE4,2011-03-26,2432,2.6585616438356166
STORE4,2011-04-02,2430,2.695909090909091
STORE4,2011-04-09,2343,2.708216783216783
STORE4,2011-04-16,2485,2.6888275862068967
STORE4,2011-04-23,3119,2.719131205673759
STORE4,2011-04-30,2300,2.6982692307692306
STORE4,2011-05-07,2609,2.6766267123287673
STORE4,2011-05-14,2435,2.701311188811189
STORE4,2011-05-21,2779,2.6770408163265307
STORE4,2011-05-28,3420,2.667239583333333
STORE4,2011-06-04,3441,2.655442176870748
STORE4,2011-06-11,3006,2.655413793103448
STORE4,2011-06-18,3080,2.6871724137931032
STORE4,2011-06-25,2964,2.647027972027972
STORE4,2011-07-02,3958,2.6437248322147653
STORE4,2011-07-09,3308,2.6054026845637583
STORE4,2011-07-16,2901,2.644847972972973
STORE4,2011-07-23,3258,2.6580821917808217
STORE4,2011-07-30,3034,2.651892361111111
STORE4,2011-08-06,2950,2.6730244755244756
STORE4,2011-08-13,2917,2.6515316901408452
STORE4,2011-08-20,2979,2.6953547297297296
STORE4,2011-08-27,3021,2.686778523489933
STORE4,2011-09-03,2838,2.689375
STORE4,2011-09-10,2719,2.6395068027210886
